family,scenario,test_name,system,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,30,30,30,30,0,100.0,12124.033333333333,12097.0,12310.0,12351.66,107.94612339290168,82.48407451540966
ledger-write,Data Loading,Turtle to Cypher Import,Neo4j,30,30,30,30,0,100.0,31250.766666666666,31264.5,33106.25,33776.47,1119.9019505692847,32.03962134400021
trace-query,Trace Query,Aggregation by Producer,Neo4j,30,30,300,300,0,100.0,29.413333333333334,4.0,257.1,281.02,75.67533166245273,223.1508062380943
trace-query,Trace Query,Aggregation by Producer,ProvChain-Org,30,30,300,300,0,100.0,0.4816990233333333,0.4814425,0.63164505,0.9704351599999997,0.1140671430230873,999.3966630205841
trace-query,Trace Query,Multi-hop Traceability (10 hops),Neo4j,30,30,1500,1500,0,100.0,13.695333333333334,4.0,63.0,260.03999999999996,39.0827307757389,246.29497399014937
trace-query,Trace Query,Multi-hop Traceability (10 hops),ProvChain-Org,30,30,1500,1500,0,100.0,0.3630201106666667,0.32727249999999997,0.5376413499999998,0.8427140000000001,0.10812548508518434,999.5430158212758
trace-query,Trace Query,Simple Product Lookup,Neo4j,30,30,1500,1500,0,100.0,9.389333333333333,5.0,37.0,122.05999999999995,18.068141932387206,208.2331979319876
trace-query,Trace Query,Simple Product Lookup,ProvChain-Org,30,30,1500,1500,0,100.0,0.35776400333333336,0.31185949999999996,0.60253105,1.08913775,0.15413539884610755,997.4449426977295
