family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Write Performance,Single-threaded Write (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,5926.444444444444,5545.0,7654.4,7817.28,1187.1026456705522,17.522416745099157
ledger-write,Write Performance Diagnostic,Write Batch Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,9,9,0,100.0,1647.7344315555556,1230.465626,2497.1615286,2510.4649705200004,590.6968396503484,0.6762025084061979
ledger-write,Write Performance Diagnostic,Write Batch HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,9,9,0,100.0,4279.225602111112,4314.361223,6424.597537799999,6587.141473159999,1665.3420265979555,27.99541354192521
