family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Write Performance,Single-threaded Write (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,11967.555555555555,11518.0,16893.2,17020.24,3783.0703024897975,9.281929371755096
ledger-write,Write Performance Diagnostic,Write Batch Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,9,9,0,100.0,1661.2870977777777,1234.464753,2521.5640398,2524.0831079600002,602.2679822427023,0.672270544929923
ledger-write,Write Performance Diagnostic,Write Batch HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,9,9,0,100.0,10306.832183777778,10284.671611,15660.2266092,15786.76264984,4294.187298171815,11.985394077318384
