family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Write Performance,Single-threaded Write (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,6434.444444444444,6397.0,8094.6,8141.32,1187.932574883413,16.07264566010887
ledger-write,Write Performance Diagnostic,"Batched Write (100 triples, 1 block)",ProvChain-Org,not-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,1646.2645652222222,1642.2766040000001,1678.4899396,1687.06760712,22.574430864400423,60.75496778600595
ledger-write,Write Performance Diagnostic,Write Batch Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,9,9,0,100.0,1679.475479888889,1281.021282,2514.2904992,2516.8872022399996,589.0383420162941,0.6606555345242905
ledger-write,Write Performance Diagnostic,Write Batch HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,9,9,0,100.0,4755.490390111111,5119.434937,6844.6805378,6908.5524923600005,1689.6994406176334,24.51750935736173
