family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
governance-policy,Policy Enforcement,auditor-read,Hyperledger Fabric,native-comparable,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,5.2817533333333335,5.2195,6.17915,7.07331,0.6189302646412509,192.29475076512
governance-policy,Policy Enforcement,authorized-read,Hyperledger Fabric,native-comparable,native,authorized-read-latency-ms,ms,,,,30,30,300,300,0,100.0,5.645673333333334,5.701499999999999,6.726700000000001,7.10718,0.7124662985869733,180.31600189662535
governance-policy,Policy Enforcement,authorized-write,Hyperledger Fabric,native-comparable,native,authorized-write-latency-ms,ms,,,,30,30,300,300,0,100.0,5.200443333333333,5.106999999999999,6.06695,6.9771600000000005,0.71656461452467,195.60993882233424
governance-policy,Policy Enforcement,rejected-write,Hyperledger Fabric,native-comparable,native,rejected-write-latency-ms,ms,,,,30,30,300,300,0,100.0,5.1946666666666665,5.121,5.95705,6.876739999999998,0.539692704745539,194.7631986575878
governance-policy,Policy Enforcement,unauthorized-read,Hyperledger Fabric,native-comparable,native,unauthorized-rejection-latency-ms,ms,,,,30,30,300,300,0,100.0,5.241103333333333,5.1739999999999995,6.016,6.514649999999994,0.8796109135988607,194.57580855062923
