family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Write Performance,Single-threaded Write (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,6011.111111111111,5536.0,7698.599999999999,7794.92,1177.9502389456436,17.255058456326953
ledger-write,Write Performance Diagnostic,Write Batch Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,9,9,0,100.0,1667.3467398888888,1246.1147669999998,2545.318692,2562.4833959999996,609.5049515713529,0.670987386179343
ledger-write,Write Performance Diagnostic,Write Batch HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,9,9,0,100.0,4344.424507333333,4305.491975,6457.6483446,6547.96917532,1679.034986205218,27.598774837896126
