family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Data Loading,Turtle RDF Import,ProvChain-Org,native-comparable,native-rdf-path,load-latency-ms,ms,,,,3,3,3,3,0,100.0,50736.0,50545.0,51061.6,51107.52,270.82220489957365,19.710233172313565
ledger-write,Write Performance Diagnostic,"Batched Write (100 triples, 1 block)",ProvChain-Org,not-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,1766.7699681111112,1762.212168,1803.1134732000003,1808.4233298400002,24.372840200349618,56.61120035379468
ledger-write,Write Performance Diagnostic,Write Batch Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,9,9,0,100.0,1259.9583138888888,1279.433725,1286.1908352,1288.44000224,25.31269327366067,0.7939987705458996
ledger-write,Write Performance Diagnostic,Write Batch HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,9,9,0,100.0,16713.07013722222,16663.792125,18873.837583200002,18917.55512144,1745.3611719246542,6.049910183323914
ledger-write,Write Performance Steady-State Append,Steady-state Append After Cold Load (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,17972.444444444445,17944.0,20141.8,20193.96,1759.399841556528,5.618269671813518
