family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Ledger Write,Single Record Confirmation,Go Ethereum (Geth),public-chain-baseline,public-chain-smart-contract,confirmation-latency-ms,ms,,,,30,30,300,300,0,100.0,256.5706366333333,256.3920075,257.7345095,258.4982603899999,0.6676376967859884,3.897588490017118
ledger-write,Ledger Write,Single Record Gas Used,Go Ethereum (Geth),public-chain-baseline,public-chain-smart-contract,gas-used,gas,,,,30,30,300,300,0,100.0,46248.6,46251.0,46251.0,46251.0,7.2,0.0
ledger-write,Ledger Write,Single Record Submit,Go Ethereum (Geth),public-chain-baseline,public-chain-smart-contract,submit-latency-ms,ms,,,,30,30,300,300,0,100.0,2.208392353333333,2.1920814999999996,2.47898485,2.7279177199999998,0.18047979817298618,456.0174947092054
ledger-write,Write Performance,Single-threaded Write (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,30,30,300,300,0,100.0,29361.67,29814.5,53256.05,55661.06999999999,15618.104694267484,5.626748472581968
