family,scenario,test_name,system,fairness_label,capability_path,metric_type,unit,native_semantic_support,external_semantic_stages,explanation_support,epochs_observed,runs_observed,samples,success_count,failed_count,success_rate,mean_ms,median_ms,p95_ms,p99_ms,stddev_ms,mean_ops_per_sec
ledger-write,Write Performance,Single-threaded Write (100 tx),ProvChain-Org,native-comparable,native-rdf-path,submit-latency-ms,ms,,,,3,3,9,9,0,100.0,10695.444444444445,10188.0,14902.2,14976.44,3215.642085912448,10.260643798203105
ledger-write,Write Performance Diagnostic,Write Batch Authentication,ProvChain-Org,not-comparable,native-rdf-path,authentication-latency-ms,ms,,,,3,3,9,9,0,100.0,1651.9741321111112,1227.119533,2506.9547834,2507.27131908,603.2992849813571,0.6771102331280419
ledger-write,Write Performance Diagnostic,Write Batch HTTP Submit Loop,ProvChain-Org,not-comparable,native-rdf-path,client-submit-loop-latency-ms,ms,,,,3,3,9,9,0,100.0,9044.055189222223,8961.9269,13678.8481852,13750.21030264,3722.274984248726,13.558685735486188
